,Postcode,LATITUDE,LONGITUDE
164,730872,1.444087301,103.7898115
165,730881,1.444491679,103.7919669
166,730864,1.440847279,103.7949912
167,731859,1.439763877,103.7945284
168,730119,1.438828532,103.780323
169,730342,1.431957208,103.7811125
170,730789,1.443370466,103.8024064
171,733788,1.443871798,103.8018334
172,730583,1.430395887,103.7953168
173,734681,1.439999661,103.8035924
174,730670,1.438826354,103.7992974
175,730670,1.438826354,103.7992974
176,730652,1.43799069,103.7999869
177,730647,1.437942583,103.8010051
178,730325,1.430788912,103.7795177
179,730325,1.430788912,103.7795177
180,730804,1.439970248,103.7877721
181,730838,1.441899984,103.7912336
182,730838,1.441899984,103.7912336
183,730830,1.439285239,103.7907853
184,760459,1.421035749,103.8463335
185,760784,1.421856387,103.8338588
186,760774,1.423529489,103.8318719
187,760707,1.428934889,103.8277162
188,760742,1.429720076,103.8331094
189,760734,1.429264553,103.8310748
190,760864,1.416672578,103.8392423
191,760742,1.429720076,103.8331094
192,760712,1.42785215,103.8277813
193,760706,1.428866921,103.828909
194,760734,1.429264553,103.8310748
195,760283,1.439496863,103.839282
196,760393,1.42851535,103.8485037
197,760621,1.418667011,103.835187
198,760353,1.426137278,103.8452165
199,760237,1.433454122,103.8389187
200,760110,1.433760579,103.8289934
201,760808,1.416914529,103.8309518
202,760114,1.434137926,103.8270203
203,760617,1.41930445,103.8353287
204,762165,1.435230206,103.8323009
205,760156,1.431887619,103.8335678
206,760151,1.430806337,103.8342681
207,760225,1.434835887,103.835813
208,760216,1.432270645,103.8363984
209,760218,1.432963645,103.8362376
210,760202,1.430665697,103.8373333
211,760264,1.435874166,103.8385037
212,760455,1.419980452,103.844384
213,760716,1.426157266,103.8274494
214,760722,1.425667158,103.8290161
215,760714,1.427016517,103.8276626
216,760736,1.428658386,103.8317276
217,760745,1.429312758,103.8334922
218,760744,1.429341729,103.8340492
219,760350,1.425479851,103.844279
220,761458,1.420859888,103.8459502
221,760443,1.423810021,103.844973
222,760446,1.423032288,103.8451598
223,761458,1.420859888,103.8459502
224,760445,1.423191787,103.8446277
225,760443,1.423810021,103.844973
226,760425,1.422422421,103.8483265
227,760766,1.4247024,103.8339498
228,760660,1.42162688,103.8397046
229,763101,1.431532551,103.8279876
230,760703,1.429584898,103.8288511
231,760709,1.428569002,103.8277354
232,760407,1.425907134,103.8481699
233,760283,1.439496863,103.839282
234,760288,1.439945497,103.8376243
235,760393,1.42851535,103.8485037
236,760245,1.434542199,103.8421142
237,760306,1.431084969,103.8402478
238,760799,1.419140508,103.8325924
239,760388,1.429169585,103.8472128
240,760451,1.422053752,103.8446752
241,760451,1.422053752,103.8446752
242,760783,1.421839205,103.8327652
243,760329,1.430301256,103.8426182
244,762115,1.433396056,103.8271178
245,760448,1.422482717,103.844903
246,760854,1.416596919,103.8374029
247,761107,1.432294917,103.827952
248,760111,1.43321264,103.8286175
249,760448,1.422482717,103.844903
250,760311,1.431575071,103.8408153
251,560406,1.362004539,103.8538799
252,560108,1.370966352,103.8382019
253,561602,1.380928431,103.8359538
254,560465,1.366201041,103.857201
255,560601,1.381041355,103.8351317
256,560150,1.376806785,103.842018
257,560447,1.367479014,103.8559671
258,560218,1.365119086,103.8417425
259,560447,1.367479014,103.8559671
260,560571,1.370055013,103.8548806
261,560534,1.374058463,103.8541682
262,560233,1.36754925,103.8367406
263,560235,1.366823609,103.8364912
264,560219,1.36598198,103.840654
265,560536,1.374473785,103.8541005
266,560230,1.368854452,103.8378964
267,560570,1.369743586,103.8560231
268,560624,1.381561712,103.8400023
269,560441,1.366050278,103.8541683
270,560625,1.382200246,103.8412103
271,560119,1.369563443,103.8446989
272,560255,1.370654871,103.8346302
273,560432,1.36830997,103.8536003
274,560211,1.369196966,103.8416666
275,560584,1.37071308,103.8534978
276,560118,1.373295936,103.8354757
277,560333,1.361342556,103.8516986
278,560256,1.370615176,103.8359677
279,560330,1.362431864,103.8510307
280,560557,1.371625702,103.8577361
281,560302,1.367089832,103.8456602
282,560575,1.371388551,103.8559533
283,560509,1.374000865,103.8501398
284,560472,1.363143927,103.8581186
285,560475,1.362662978,103.8565159
286,560629,1.38010475,103.8404087
287,560546,1.373651239,103.8570222
288,560131,1.371015364,103.8418003
289,560254,1.37020344,103.8346877
290,560470,1.364098079,103.8566942
291,560601,1.381041355,103.8351317
292,560463,1.366947935,103.8574876
293,560207,1.365820895,103.8428478
294,560304,1.366286428,103.8449948
295,560646,1.379395177,103.8437636
296,560328,1.366617937,103.8478669
297,563588,1.37183157,103.853671
298,564588,1.371754007,103.8538833
299,564588,1.371754007,103.8538833
300,560101,1.370261584,103.8394679
301,560430,1.368992878,103.8527613
302,560520,1.373405406,103.8511342
303,560716,1.371477831,103.8458688
304,561588,1.372076889,103.8527861
305,561310,1.364812561,103.8438442
306,561613,1.378135921,103.838826
307,460101,1.334484667,103.9379247
308,460548,1.331310218,103.9268539
309,460075,1.327914779,103.9421444
310,460550,1.33269318,103.9266174
311,460001,1.320852087,103.9337211
312,470151,1.335576195,103.9115458
313,460054,1.329478409,103.9211051
314,461050,1.329304314,103.9224158
315,470105,1.329144379,103.9091128
316,460528,1.334902876,103.9278382
317,460534,1.333036982,103.9248122
318,460550,1.33269318,103.9266174
319,460077,1.328696112,103.9419956
320,470116,1.331037846,103.9086416
321,469276,1.317840249,103.9293968
322,461040,1.326043353,103.9264885
