,STN_NAME,Latitude,Longitude
108,NEWTON MRT STATION,1.313607102,103.8378098
109,NEWTON MRT STATION,1.3123201,103.83798409999999
110,NIBONG LRT STATION,1.411870458,103.9002935
111,NICOLL HIGHWAY MRT STATION,1.299766835,103.8636292
112,NOVENA MRT STATION,1.320440791,103.8438228
113,OASIS LRT STATION,1.402286677,103.9127036
114,ONE-NORTH MRT STATION,1.299759879,103.7874693
115,ORCHARD MRT STATION,1.303981012,103.8322417
116,OUTRAM PARK MRT STATION,1.28140498,103.839125
117,OUTRAM PARK MRT STATION,1.279764543,103.8395732
118,PASIR PANJANG MRT STATION,1.276213523,103.79136070000001
119,PASIR RIS MRT STATION,1.3729837740000002,103.9492348
120,PAYA LEBAR MRT STATION,1.318112082,103.8930446
121,PAYA LEBAR MRT STATION,1.317430268,103.89216329999999
122,PENDING LRT STATION,1.3761428830000002,103.77128809999999
123,PETIR LRT STATION,1.3777503340000001,103.7666882
124,PHOENIX LRT STATION,1.378618844,103.7580559
125,PIONEER MRT STATION,1.337586882,103.69735859999999
126,POTONG PASIR MRT STATION,1.331379525,103.869046
127,PROMENADE MRT STATION,1.292891552,103.860846
128,PROMENADE MRT STATION,1.293218051,103.8609921
129,PUNGGOL LRT STATION,1.4051947009999999,103.9023911
130,PUNGGOL MRT STATION,1.4045467280000001,103.902052
131,PUNGGOL POINT LRT STATION,1.41684852,103.90662840000002
132,QUEENSTOWN MRT STATION,1.294860933,103.8058913
133,RAFFLES PLACE MRT STATION,1.284125611,103.8514572
134,RAFFLES PLACE MRT STATION,1.284125611,103.8514572
135,RANGGUNG LRT STATION,1.3842335609999998,103.897176
136,REDHILL MRT STATION,1.289562726,103.8168209
137,RENJONG LRT STATION,1.3867239219999998,103.8905227
138,RIVIERA LRT STATION,1.3945244959999998,103.91614150000001
139,ROCHOR MRT STATION,1.306800025,103.8496427
140,RUMBIA LRT STATION,1.391468497,103.9059522
141,SAM KEE LRT STATION,1.409612685,103.9048099
142,SAMUDERA LRT STATION,1.415901719,103.9021353
143,SEGAR LRT STATION,1.387772131,103.76961709999999
144,SEMBAWANG MRT STATION,1.449050821,103.82005040000001
145,SENGKANG LRT STATION,1.391609364,103.8954243
146,SENGKANG MRT STATION,1.391694626,103.8954664
147,SENJA LRT STATION,1.3826922959999999,103.76238790000001
148,SERANGOON MRT STATION,1.3505952559999999,103.87235720000001
149,SERANGOON MRT STATION,1.349707875,103.8735637
150,SIMEI MRT STATION,1.343202895,103.9533387
151,SIXTH AVENUE MRT STATION,1.330786387,103.7972561
152,SOMERSET MRT STATION,1.300260055,103.83907370000001
153,SOO TECK LRT STATION,1.405088585,103.89719040000001
154,SOUTH VIEW LRT STATION,1.3802982869999998,103.7453173
155,STADIUM MRT STATION,1.30284063,103.8753395
156,STEVENS MRT STATION,1.320065557,103.8260263
157,SUMANG LRT STATION,1.408452426,103.8985387
158,TAI SENG MRT STATION,1.335433322,103.88818
159,TAMPINES EAST MRT STATION,1.3561914830000001,103.9546005
160,TAMPINES MRT STATION,1.353301356,103.94511750000001
161,TAMPINES MRT STATION,1.355077429,103.94302979999999
162,TAMPINES WEST MRT STATION,1.345515305,103.938408
163,TAN KAH KEE MRT STATION,1.3258832090000001,103.8073292
164,TANAH MERAH MRT STATION,1.327187135,103.94631609999999
165,TANJONG PAGAR MRT STATION,1.276521247,103.8458611
166,TECK LEE LRT STATION,1.412770894,103.9065554
167,TECK WHYE LRT STATION,1.376684679,103.75373520000001
168,TELOK AYER MRT STATION,1.282289536,103.84829909999999
169,TELOK BLANGAH MRT STATION,1.270753211,103.80975440000002
170,TEN MILE JUNCTION LRT STATION,1.3803210080000001,103.760161
171,THANGGAM LRT STATION,1.397318155,103.87562259999999
172,TIONG BAHRU MRT STATION,1.286193393,103.827021
173,TOA PAYOH MRT STATION,1.332628987,103.84749790000001
174,TONGKANG LRT STATION,1.3893479530000001,103.8858287
175,TUAS CRESCENT MRT STATION,1.321026553,103.6491245
176,TUAS LINK MRT STATION,1.3404637659999998,103.6369324
177,TUAS WEST ROAD MRT STATION,1.3299890890000001,103.63966620000001
178,UBI MRT STATION,1.3299568259999999,103.8992348
179,UPPER CHANGI MRT STATION,1.341737484,103.96143670000001
180,WOODLANDS MRT STATION,1.436875128,103.78649990000001
181,WOODLANDS MRT STATION,1.436066981,103.78794509999999
182,WOODLANDS SOUTH MRT STATION,1.427259979,103.7938631
183,WOODLEIGH MRT STATION,1.339190046,103.87080809999999
184,YEW TEE MRT STATION,1.3975350180000001,103.74743070000001
185,YIO CHU KANG MRT STATION,1.381756046,103.8449439
186,YISHUN MRT STATION,1.4294430809999998,103.83500450000001
